Katman;Renk (ACI);Çizgi tipi;Kalınlık 1/100 (mm);Yazdırılır;İçerik;Dayanak;Öğe sayısı (tüm set)
M-BACA-TUGLA;116;Continuous;0,09;evet;Baca ve şömine;ÇŞB;9
M-BACA-TUGLA-1;116;Continuous;0,09;evet;Baca ve şömine — görünüşte görünen (derinlik 1);ÇŞB;3
M-BACA-TUGLA-1-T;8;Continuous;0,05;evet;Baca ve şömine — görünüşte görünen (derinlik 1) — tarama;ÇŞB (-T kuralı);6
M-BACA-TUGLA-T;8;Continuous;0,05;evet;Baca ve şömine — tarama;ÇŞB (-T kuralı);4
M-BITK-AGAC;70;Continuous;0,09;evet;Ağaçlar, selviler;ÇŞB;17
M-BITK-AGAC-1;70;Continuous;0,09;evet;Ağaçlar, selviler — görünüşte görünen (derinlik 1);ÇŞB;16
M-CKAP-KIREMIT;66;Continuous;0,09;evet;Çatı kaplama (kil kiremit), mahya, dere;ÇŞB;145
M-CKAP-KIREMIT-1;66;Continuous;0,09;evet;Çatı kaplama (kil kiremit), mahya, dere — görünüşte görünen (derinlik 1);ÇŞB;9
M-CKAP-KIREMIT-1-T;8;Continuous;0,05;evet;Çatı kaplama (kil kiremit), mahya, dere — görünüşte görünen (derinlik 1) — tarama;ÇŞB (-T kuralı);14
M-CKAP-KIREMIT-2;66;Continuous;0,09;evet;Çatı kaplama (kil kiremit), mahya, dere — görünüşte görünen (derinlik 2);ÇŞB;5
M-CKAP-KIREMIT-2-T;8;Continuous;0,05;evet;Çatı kaplama (kil kiremit), mahya, dere — görünüşte görünen (derinlik 2) — tarama;ÇŞB (-T kuralı);1
M-CKAP-KIREMIT-T;8;Continuous;0,05;evet;Çatı kaplama (kil kiremit), mahya, dere — tarama;ÇŞB (-T kuralı);5
M-CTAS-AHSAP;234;Continuous;0,20;evet;Çatı taşıyıcı (ahşap dikme, mahya kirişi);ÇŞB;6
M-CVRE-ZEMIN;45;Continuous;0,18;evet;Doğal zemin / toprak (kesit ve görünüş);TÜRETİLMİŞ;8
M-CVRE-ZEMIN-T;8;Continuous;0,05;evet;Doğal zemin / toprak (kesit ve görünüş) — tarama;TÜRETİLMİŞ (-T kuralı);11
M-DUVA-GAZBETON;64;Continuous;0,20;evet;Gazbeton duvar (dış 25 cm, iç 13,5 cm);ÇŞB;168
M-DUVA-GAZBETON-T;8;Continuous;0,05;evet;Gazbeton duvar (dış 25 cm, iç 13,5 cm) — tarama;ÇŞB (-T kuralı);158
M-DUVK-AHSAP-1;126;Continuous;0,05;evet;Cephe ahşap kompozit kaplama — görünüşte görünen (derinlik 1);TÜRETİLMİŞ;1
M-DUVK-AHSAP-1-T;8;Continuous;0,05;evet;Cephe ahşap kompozit kaplama — görünüşte görünen (derinlik 1) — tarama;TÜRETİLMİŞ (-T kuralı);2
M-DUVK-DOGALTAS-1;139;Continuous;0,05;evet;Duvar/cephe kaplama: Sille taşı, subasman yontma taş — görünüşte görünen (derinlik 1);ÇŞB;8
M-DUVK-DOGALTAS-1-T;8;Continuous;0,05;evet;Duvar/cephe kaplama: Sille taşı, subasman yontma taş — görünüşte görünen (derinlik 1) — tarama;ÇŞB (-T kuralı);91
M-DUVK-PREKAST-1;127;Continuous;0,05;evet;Kat silmesi (prekast / GRC) — görünüşte görünen (derinlik 1);TÜRETİLMİŞ;4
M-GOST-ACYONU;248;ACAD_ISO07W100;0,09;evet;Kapı açılım yayı;ÇŞB;44
M-GOST-AKS;1;ACAD_ISO04W100;0,09;evet;Aks çizgileri;ÇŞB;24
M-GOST-AKSPOZ;1;Continuous;0,09;evet;Aks balonları;TÜRETİLMİŞ;104
M-GOST-ANTET;176;Continuous;0,25;evet;Pafta çerçevesi ve antet (layout);ÇŞB;188
M-GOST-ANTETYAZI;177;Continuous;0,09;evet;Antet yazıları, notlar, pafta başlıkları (layout);ÇŞB;627
M-GOST-BINAOTURUM;7;Continuous;0,30;evet;Vaziyette bina oturumu ve çatı izi;TÜRETİLMİŞ;11
M-GOST-DISOLCU;40;Continuous;0,09;evet;Dış ölçüler (ölçü nesneleri);ÇŞB;185
M-GOST-ICOLCU;44;Continuous;0,09;evet;İç ölçüler (ölçü nesneleri);ÇŞB;50
M-GOST-IZDUSUM;80;ACAD_ISO07W100;0,18;evet;Üstte kalan / görünmeyen izdüşüm (saçak, pergola, üst kol);ÇŞB;67
M-GOST-KAPIPOZ;95;Continuous;0,09;evet;Kapı poz etiketleri;ÇŞB;99
M-GOST-KESITHATTI;240;ACAD_ISO04W100;0,18;evet;Kesit hattı ve okları;ÇŞB;42
M-GOST-KESITKOT;46;Continuous;0,09;evet;Kesit ve görünüş kotları;ÇŞB;205
M-GOST-KUZEYOKU;1;Continuous;0,09;evet;Kuzey oku;ÇŞB;36
M-GOST-LEJANT;173;Continuous;0,09;evet;Lejant sembolleri;ÇŞB;87
M-GOST-MAHALPOZ;7;Continuous;0,09;evet;Mahal adı, numarası, alanı, kaplaması;ÇŞB;183
